Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Denmark,1,1.8837920648239224,1.1862989011294096,1.3921833558165162,1.0385071199341553,1.4369300589740372,2.772821865521899,0.8930919922861011
Switzerland,2,1.8688539937588384,1.3943083933298284,1.3225965530731552,1.335903278663139,1.4794003313815152,2.479192416896217,0.28647244679948836
Iceland,3,1.8618243132576222,1.1495355636417377,1.4656068363327543,1.3547119782150534,1.3461291681288292,0.10955759272563367,1.7561448001390263
Norway,4,1.859188183069666,1.5161477346993544,1.253611582137304,1.0417877070653032,1.5519307316618178,1.9888764114526545,1.0223961585100036
Finland,5,1.784497827744244,1.0992534327392869,1.2827251958256078,1.1079243436292425,1.3792228868879028,2.4612132598880594,0.09214118538061876
Canada,6,1.7765894371803754,1.182335657736228,1.1377589591916002,1.180928342587718,1.3975623227002227,1.5871009782100671,1.5428379273195498
Netherlands,7,1.7194732831079942,1.2419788236471136,0.8858171187726629,1.1140481062740517,1.2487095335318068,1.4604337514490802,1.7364941669889904
New Zealand,8,1.7150797327947334,0.9890606777828523,1.4261868529408395,1.1956253729352602,1.4511327799414733,2.54252603027671,1.8853739639463252
Australia,9,1.696626821479041,1.1927422109404104,1.1703331057730866,1.2841574843145014,1.3608145058281687,1.6776291959094312,1.7358191452395613
Sweden,10,1.677295200100697,1.2106862209046312,1.1059371023695004,1.196718901978976,1.4560278925079195,2.448835649284454,1.0493220260705491
Israel,11,1.6562061585970485,0.9331376114986956,0.7588682218759902,1.2752780284795282,-0.04601326766952939,-0.45484338129425467,0.6018576086159086
Austria,12,1.5261570693245483,1.207209265044355,1.0916059824531654,1.0849164925494592,1.1896924017447923,0.6853423545999332,0.6451340029959501
United States,13,1.512976418384768,1.3472114457679099,0.9561562112754116,0.9683462964893416,0.7627834297527443,0.09989040780164979,1.2610538481413591
Costa Rica,14,1.4980383473196834,0.2793969666369002,0.8572301079159306,0.891624298782232,1.2496747669956132,-0.2905012375865267,-0.12829091701616094
