Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Finland,1,2.021739605459459,1.0585889211280433,1.2566733387872586,1.1210365234700372,1.3989471953810502,2.9216051420050926,0.2138831616207937
Norway,2,1.987686738762399,1.4451115460790958,1.2234949677664229,1.0683588722907138,1.4298299059461654,2.3705550618404314,1.0696770394464052
Denmark,3,1.952737743994363,1.1763375353515428,1.2500376645830915,1.0967237613872725,1.4113002796070961,3.0775627118630156,1.0493009947362715
Iceland,4,1.8989700597358472,1.1558595154865865,1.429200868095604,1.2831216040218014,1.3742410269289578,0.2703264544204001,1.7522745372358812
Switzerland,5,1.891801035168045,1.3529604566867919,1.1140063433976644,1.3357992552011246,1.2692398110075658,2.547306974346077,0.7640363687944013
Netherlands,6,1.8505791439031822,1.2019350601827383,0.9116182801705662,1.1372450315252136,1.1333558845210583,1.9026823522666616,1.5485140901345456
Canada,7,1.7493166718829771,1.1225827332060325,1.0576031126622438,1.2101833177735075,1.2260040162164043,1.8610936669712155,1.4262578218737438
New Zealand,8,1.7457321595990756,0.9638780792526201,1.2865338727060105,1.1291407774976254,1.3248286900247732,2.8800164567096465,1.8745308054966832
Sweden,9,1.736770878889323,1.1865765452840211,0.9547501624976524,1.2790694770080073,1.2630632688945427,2.8176334287664773,1.0594890170913382
Australia,10,1.6991334999083618,1.148180258037228,1.1936344338476703,1.266913095966625,1.188944763538266,1.9754625515336923,1.8337787160764158
United Kingdom,11,1.6256509980883898,0.9024440196577508,0.7291372395559698,1.1777663016631545,0.058637556855045944,-0.31191513971584617,0.8251645029248021
Austria,12,1.5799484664686507,1.1507400105203474,0.9647036738039035,1.189922682704537,1.003648500147574,1.1644831882724924,0.6214040558234658
Costa Rica,13,1.5199078857133075,0.30346193860777565,0.8154010042101428,0.8900652836837734,1.09629663184292,-0.11436888456247692,-0.3872101573281482
Ireland,14,1.434775718970657,1.4246335262141394,1.226812804868506,1.1291407774976254,0.9851188738085047,2.0170512368291384,1.2836255089028084
Germany,15,1.4240221821189534,1.148180258037228,0.8651685607413961,1.0683588722907138,0.8121756946438589,1.7467247824087389,0.9372327488305371
Belgium,16,1.3899693154218928,1.107224218307315,0.8950290946601487,1.2020790637459193,0.7936460683047897,1.330837929454277,0.07125084864985827
Luxembourg,17,1.3747351382153137,1.7522818440534422,1.017789067437241,1.2101833177735075,1.09629663184292,2.173008806687062,0.1527550274903928
United States,18,1.3532280645119072,1.2966459020581615,0.8552150494351457,0.8981695377113615,0.57129055223596,0.21834059780109233,1.1206171512217393
Israel,19,1.2887068434016875,1.0483499111955652,1.1471847144185001,1.157505666594184,0.48481896265363716,1.6635474118178466,1.7624625595909482
United Arab Emirates,20,1.2528617205626766,3.0833531352756096,-1.45068173651294,0.29440261265604084,-1.0531400234891053,,0.050874803939724635
Czech Republic,21,1.196405652091235,0.8742867423434361,0.9149361172726501,1.0399939831941551,0.5465843837838678,-0.8109793632612,-1.1920639233784258
Malta,22,1.1211308941293117,0.9689975842188593,1.0343782529476584,1.1615577936079782,1.1765916793122198,0.311915139715846,1.986599051402418
France,23,0.9974652203347244,1.0278718913306086,0.8386258639247275,1.2588088419390366,0.4045239151843373,0.6654189647271384,-0.8456711633061543
Mexico,24,0.9965690922637496,0.3751350081351232,0.12860872407884225,0.6631461709113039,0.15128568855039157,-0.1767519125056462,-1.1411238116030917
Chile,25,0.9858155554120459,0.6131919890652414,0.39071785514344465,0.8535961405596268,-0.14518833287471522,-0.5302557375169386,0.16294304984545963
Taiwan,26,0.9544510729279113,1.2121740701152166,0.7390907508622201,1.0521503642355374,-0.22548338034401508,-0.35350382501129235,-0.30570597848761366
Panama,27,0.9445936641471833,0.5645566918859702,0.7457264250663873,0.6550419168837157,0.8801176578871126,-0.5094613948692154,-0.5705945597193506
Brazil,28,0.9347362553664552,0.24202787901290637,0.8651685607413961,0.31466324772501136,0.2377572781327145,-0.24953211177267703,-0.7234148950453527
Argentina,29,0.9069562851662221,0.4647263450443073,0.8452615381288946,0.5942600116768041,0.7133510208354898,-0.6030359367839693,-1.2124399680885596
Guatemala,30,0.9015795167403702,-0.28272138002660174,0.1816941177121795,0.04317073780080635,0.9233534526782741,-0.4262840242783232,-0.020441352545743082
Uruguay,31,0.8988911325274443,0.5159213947066984,0.8154010042101428,0.703667441049245,1.0530608370517585,0.44707836692604613,-0.5196544479440165
Qatar,32,0.8944104921725681,1.9391437753211695,0.2978184162851044,0.6104685197319806,1.2321805583294274,0.6134331081078309,0.7640363687944013
Saudi Arabia,33,0.8917221079596429,1.2480106048788904,0.39071785514344465,0.14447391314565897,0.3365819519410836,0.15595756985792306,-0.8456711633061543
Singapore,34,0.8666305219723349,1.631973477346823,0.7888583073934742,1.6640215433184466,1.0901200897298968,3.587024106732231,0.8149764805697354
Malaysia,35,0.8478118324818543,0.6899845635588281,0.1485157466913437,0.29035048564224675,-0.6084289913514448,-0.5510500801646616,1.3243775983230757
Spain,36,0.8370582956301507,0.9203622870395874,1.0775101352747454,1.4897800817253002,-0.03401057484030004,-0.39509251030673853,-0.397398179683215
Colombia,37,0.7922518920813872,0.17547431445179795,0.7490442621684712,0.15257816717324718,0.472465878427591,-0.7589935066418925,-0.8354831409510876
Trinidad & Tobago,38,0.7313151832550692,0.8486892175122405,0.9248896285789006,-0.13512285080613426,0.7442337314006051,-0.9669369331191231,-0.10194553138627732
Slovakia,39,0.7142887499065389,0.8154124352316859,1.0741922981726615,0.7239280761182155,-0.620782075577491,-1.0189227897384308,-0.6419107162048183
El Salvador,40,0.7089119814806871,-0.21872756794861287,0.058934144935087425,0.16878667522842358,0.04010793051597675,-0.31191513971584617,-1.181875901023359
Nicaragua,41,0.6856126516353303,-0.5719734106191111,0.35090380991844167,0.41596642306986353,0.44775970997549874,0.1663547411817846,0.2750112957511943
Poland,42,0.6694823463577755,0.7283808508056211,0.7789047960872231,0.744188711187186,0.5651140101229369,-0.4990642235453539,-0.7437909397554864
Bahrain,43,0.6533520410802208,1.1430607530709889,0.5068421537163703,0.40786216904227535,0.8615880315480434,0.11436888456247686,0.6315920781785326
Uzbekistan,44,0.6452868884414431,-0.44142603398001407,1.23013064197059,0.03101435675942404,1.6645385062410412,1.5283841846076465,1.4975739783592115
Kuwait,45,0.6336372235187646,1.4911870907752478,0.29118274208093725,0.31466324772501136,0.6145263470271215,-0.06238302794316931,-0.1426976208065446
Thailand,46,0.6237798147380366,0.318820453506493,0.6760518459226325,0.4443313121664223,1.1271793424080352,-0.8629652198805078,1.8643427831416164
Italy,47,0.559258593627817,0.9536390693201419,0.9547501624976524,1.4127896684632122,-1.0716696498281741,-0.8733623912043693,-0.4483382914585488
Ecuador,48,0.5350631357114846,-0.006268111849690129,0.3874000180413614,0.5618429955664513,0.6268794312531676,0.08317737059089221,-0.6826628056250854
Belize,49,0.5198289585049054,-0.2161678154654933,-0.37238467833577793,-0.4998142820476032,0.8554114894350203,-0.2391349404488155,0.02031073687452418
Lithuania,50,0.516244446221004,0.7821356529511321,1.0410139271518257,0.4808004552905692,-0.6454882440295833,-1.102100160329323,-1.5792087728709645
