Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Finland,1,2.1287111190306174,1.0950416570576835,1.2680975780463284,1.0804224668168647,1.4242822958350578,2.996757115265599,-0.33540397742566896
Denmark,2,1.9763966293014943,1.2033238546127483,1.22115408752218,1.121856633890819,1.3962768711430436,3.1771584379533078,0.7072649089193452
Norway,3,1.9349382474817338,1.467733871898372,1.2513320457162758,1.2544459685274725,1.473291789046083,2.4449413046914277,0.9073730790259643
Iceland,4,1.8808620972820451,1.1957692826903015,1.392162517288721,1.2461591351126815,1.3892755149700398,0.07850042472911647,1.7815298221232991
Netherlands,5,1.875454482262077,1.236060332943349,1.0501456577556398,1.1342868840130051,1.1512294050879182,1.988632076716632,1.4445055356279413
Switzerland,6,1.8682443289021184,1.377079008829015,1.0635580836196823,1.3538879695049626,1.2562497476829715,2.466164989713511,0.8231170074021247
Sweden,7,1.7447704526128296,1.2133966171760102,0.932786931445269,1.175721051086959,1.2702524600289786,2.7845202650447636,0.8652450432140445
New Zealand,8,1.712324762493017,1.001868603347511,1.1675043840660104,1.2461591351126815,1.3472673779320183,2.8588031626220562,1.528761607251781
Canada,9,1.6861879565631668,1.15799642307807,0.9931428478334591,1.3000235523088217,1.3402660217590145,2.0947505018270496,1.054821204367683
Austria,10,1.6573473431233336,1.1856965201270397,0.8925496538531418,1.2047249680387273,0.9761955007628282,1.224579415921626,0.6230088372955057
Australia,11,1.6411244980634265,1.1756237575637785,1.1373264258719153,1.2875933021866357,1.1512294050879182,1.9037373366282977,1.5498256251577407
Costa Rica,12,1.5861470786937435,0.3244753209681515,0.7785440340087814,0.9851238825467697,1.158230761260922,-0.1867956380469273,-0.4301920580024885
Israel,13,1.5609115419338893,0.9338774560454935,0.8254875245329298,1.2585893852348673,-0.15102284309075065,-0.30352590566838655,0.8020529894961649
Luxembourg,14,1.5167493526041436,1.7724349394370429,0.9059620797171842,1.1881513012091456,0.9341873637248067,2.1796452419153836,0.09640838964650875
United Kingdom,15,1.4843036624843309,1.077414322571975,1.1037953612118094,1.121856633890819,0.40208429457653344,1.7763952264957972,1.7183377684054193
Ireland,16,1.4545617798745019,1.4954339689473422,1.154091958201968,1.1342868840130051,0.8641738019947707,2.115974186849133,1.1917373207564224
Germany,17,1.4221160897546892,1.1781419482045936,0.8221344180669188,1.0845658835242602,0.7171453223616949,1.6384412738522542,0.8020529894961649
Belgium,18,1.3662374012150111,1.1353327073107309,0.9897897413674489,1.0804224668168647,0.5631154865556158,1.0547899357449577,-0.2616799147548093
United States,19,1.3382980569451723,1.3292333866535215,0.832193737464951,0.6163597955885776,0.43008971926854783,0.18461884983953408,1.002161159602784
Czech Republic,20,1.30224729014538,0.916250121559785,0.932786931445269,0.806956964128767,0.45109378778755865,-0.7916706611763071,-1.4623289353945228
United Arab Emirates,21,1.2779130225555202,1.5055067315106037,0.33928708696139304,0.4133323769262019,1.438285008181065,0.7576583454357887,0.8125849984491448
Malta,22,1.1886873747260343,0.9943140314250648,1.0434394448236186,1.1342868840130051,1.2002388982989427,0.4286912275934943,2.002702010135878
Mexico,23,1.0706211134567145,0.41513018403750823,0.38287747101953046,0.5624953783924371,0.2830612396354722,-0.3990324882677624,-1.1674326847110843
France,24,1.06791730594673,1.0547506068046362,0.8824903344551096,1.3248840525531942,0.304065308154483,0.7682701879468304,-0.7777483534508264
Taiwan,25,0.9363320071274884,1.1655509950005165,0.7416598628826644,0.7820964638843945,-0.29104996655082266,-0.14434826800276027,0.6019448193895458
Chile,26,0.934529468787499,0.6392491510700844,0.5371203684560181,0.806956964128767,-0.24904182951280107,-0.5794338109554721,0.02268432697564909
Guatemala,27,0.9273193154275405,-0.2647812889826669,0.20180972185495807,0.08600245704196392,0.9971995692818391,-0.3459732757125536,-0.10369978046011032
Saudi Arabia,28,0.8723418960578574,1.2536876674290576,0.49688309086389093,0.2890298757043397,0.3250693766734938,0.22706621988370113,-1.1042406309932047
Qatar,29,0.8714406268878623,1.9612992374982026,0.3493464063594245,0.6039295454663913,1.137226692741911,0.5984807077701626,0.37024062242398714
Spain,30,0.8534152434879666,0.9590593624536483,0.9227276120472369,1.3953221365789168,-0.21403504864778308,-0.33536143320151185,-0.33540397742566896
Panama,31,0.8236733608781377,0.6140672446619297,0.7818971404747916,0.7655227970548129,0.8641738019947707,-0.6006574959775556,-0.7988123713567863
Brazil,32,0.8047467083082468,0.24892960174368756,0.7718378210767601,0.31803379265610765,-0.017997075803682244,-0.2610785356242196,-0.9041324608865857
Uruguay,33,0.7984378241182835,0.5511124786415434,0.8590185891930359,0.6867978796142998,0.9131832952057959,0.41807938508245257,-0.6092362102031473
Singapore,34,0.770498479848444,1.6792618857268709,0.8523123762610146,1.7226520564631547,1.1442280489149146,3.6334676659281038,0.9073730790259643
El Salvador,35,0.7623870573184912,-0.27989043282755965,0.11127584727267222,0.26416937545996716,0.26205717111646143,-0.38842064575672064,-0.9673245146044653
Italy,36,0.7353489822186468,0.979204887580172,0.9361400379112793,1.3000235523088217,-1.131212707311254,-0.8553417162425577,-0.2827439326607692
Bahrain,37,0.7137185221387714,1.1504418511556238,0.5337672619900079,0.6039295454663913,1.0042009254548427,-0.0063943153592174755,0.7388609357782852
Slovakia,38,0.7128172529687771,0.8583317368210296,0.9897897413674489,0.6453637125403455,-0.4100730214918835,-1.0251311964192258,-0.6724282639210271
Trinidad & Tobago,39,0.7074096379488081,0.8205588772087979,0.899255866785163,-0.05073029430208504,0.6751371853236734,-1.0039075113971423,0.0016203090696891894
Poland,40,0.6983969462488602,0.757604111188411,0.7684847146107492,0.6577939626625319,0.6331290482856518,-0.6431048660217226,-0.7145562997329468
Uzbekistan,41,0.6911867928889017,-0.4032817742275175,1.0736174030177137,0.12743662411591816,1.6693297618901841,1.3731452110762103,1.4445055356279413
Lithuania,42,0.6686550636390313,0.8381862116945059,1.0266739124935653,0.38432845997443393,-0.7111313369310384,-0.7279996061100565,-1.4939249622534627
Colombia,43,0.6470246035591559,0.2010839795681937,0.6745977335624523,0.4796270442445287,0.542111418036605,-0.8128943461983906,-0.9041324608865857
Slovenia,44,0.6407157193691926,0.8885500245108152,1.05349876422165,0.9436897154728155,1.2002388982989427,-0.5688219684444303,-0.4301920580024885
Nicaragua,45,0.6289992201592602,-0.5317094969091062,0.3895836839515517,0.45476654400015615,0.2970639519814794,0.17400700732849234,0.15960044336438844
Kosovo,46,0.6244928743092855,-0.05828965643579896,0.0777447826125662,0.135723457530709,0.6751371853236734,-1.1100259365075598,0.8125849984491448
Argentina,47,0.6118751059293588,0.4705303781354485,0.7483660758146856,0.6453637125403455,0.5491127742096086,-0.6431048660217226,-1.2516887563349237
Romania,48,0.5974547992094419,0.6468037229925305,0.0777447826125662,0.4133323769262019,0.4861005686525766,-1.1206377790186015,-1.0726446041342648
Cyprus,49,0.5758243391295664,0.9011409777148923,0.04756682441847117,1.3124538024310084,0.09402462296437539,-0.7386114486210983,0.05428035383458894
Ecuador,50,0.5596014940696593,0.017256062788665,0.34599329989341426,0.5914992953442051,0.7381493908807057,-0.2504666931131779,-0.6197682191561273
Kuwait,51,0.553292609879696,1.4979521595881575,0.36946504515548806,0.3428942929004802,0.7031426100156878,-0.14434826800276027,-0.4512560759084484
Thailand,52,0.5415761106697636,0.3647663712211989,0.6712446270964422,0.4257626270483882,1.1512294050879182,-0.8765654012646412,1.8341898668881988
Latvia,53,0.4802898071101171,0.7097584890129175,0.8590185891930359,0.35946795973006185,-0.9001679536021353,-0.4945390708671381,-1.1569006757581044
South Korea,54,0.4397326944603501,0.99683222206588,0.03415439855442876,1.2875933021866357,-1.635310351767513,-0.5794338109554721,-0.10369978046011032
Estonia,55,0.4379301561203607,0.8356680210536908,1.0702642965517033,0.6163597955885776,0.7171453223616949,0.534809652703912,-0.862004425074666
Jamaica,56,0.4352263486103762,-0.1867173791173877,0.9026089732511733,0.4381928771705744,0.682138541496677,-0.8765654012646412,-0.8198763892627462
Mauritius,57,0.43342381027038673,0.5410397160782815,0.6477728818343675,0.301460125826526,0.7381493908807057,-0.5369864409113051,0.3175805776590874
Japan,58,0.43162127193039734,1.062305178727082,0.7047756917565482,1.5030509709711979,0.36707751371151537,0.3119609599720352,-1.2200927294759838
Honduras,59,0.40818827351053255,-0.6626554102315102,0.0911572084766086,0.4257626270483882,0.8011615964377383,-0.3459732757125536,0.6440728552014656
Kazakhstan,60,0.3622235458407973,0.6745038200415009,1.0032021672314915,0.015564373016241726,0.12203004765638939,-0.154960110513802,-0.4091280400965286
Bolivia,61,0.3351854707409529,-0.32521786436223804,0.0006233338943227514,-0.07973421125385301,0.8291670211297527,-0.4945390708671381,-0.5039161206733479
Hungary,62,0.31625881817106205,0.745013157984334,0.6745977335624523,0.4257626270483882,-1.3552561048473688,-0.9614601413529752,-1.0937086220402246
Paraguay,63,0.30273978062114026,-0.12628080373781653,0.8925496538531418,0.21444837497122202,0.8501710896487634,-0.32474959069047005,-0.00891169988329076
Northern Cyprus,64,0.2802080513712698,0.9011409777148923,0.14480691193277823,1.3124538024310084,0.17103954086741457,0.5454214952149538,0.0648123627875689
Peru,65,0.26128139880137896,0.13812921354780708,0.21857525418501145,0.5334914614406692,0.43709107544155146,-0.887177243775683,-1.0726446041342648
Portugal,66,0.25767632212139935,0.7953769708006433,0.7450129693486753,1.1342868840130051,0.8081629526107419,-0.9084009287977665,-1.451796926441543
